id,sex,age,edu,drink
209,female,25-34,college diploma,2-3 times a week
210,male,65-74,less than high school diploma,once or twice in the past month
211,male,35-44,university diploma above bachelor's degree,2-3 times a week
212,female,65-74,less than high school diploma,never drink
213,male,65-74,university diploma above bachelor's degree,2-3 times a week
214,male,55-64,bachelor's degree ,2-3 times a week
215,female,25-34,bachelor's degree ,2-3 times a week
216,female,55-64,high school diploma,never drink
217,female,65-74,bachelor's degree ,once or twice in the past month
218,female,25-34,bachelor's degree ,not in the past month
219,female,55-64,bachelor's degree ,once or twice in the past month
220,male,65-74,trade certificate,once a week
221,female,65-74,high school diploma,2-3 times a week
222,male,15-24,less than high school diploma,never drink
223,male,55-64,high school diploma,once a week
224,male,45-54,high school diploma,once or twice in the past month
225,female,45-54,high school diploma,not in the past month
226,female,75&over,university diploma above bachelor's degree,everyday
227,male,65-74,trade certificate,4-6 times a week
228,female,65-74,high school diploma,never drink
229,female,35-44,bachelor's degree ,4-6 times a week
230,female,35-44,university diploma above bachelor's degree,once a week
231,female,55-64,bachelor's degree ,not in the past month
232,female,65-74,high school diploma,once or twice in the past month
233,female,65-74,bachelor's degree ,4-6 times a week
234,female,75&over,college diploma,not in the past month
235,male,35-44,trade certificate,not in the past month
236,male,45-54,university diploma below bachelor's degree,everyday
237,female,55-64,university diploma below bachelor's degree,2-3 times a week
238,female,55-64,bachelor's degree ,not in the past month
239,female,25-34,trade certificate,once a week
240,male,35-44,bachelor's degree ,once or twice in the past month
241,male,35-44,bachelor's degree ,once or twice in the past month
242,male,75&over,high school diploma,never drink
243,male,25-34,trade certificate,2-3 times a week
244,female,55-64,less than high school diploma,never drink
245,female,65-74,less than high school diploma,never drink
246,female,25-34,less than high school diploma,not in the past month
247,female,65-74,university diploma below bachelor's degree,once or twice in the past month
248,male,45-54,bachelor's degree ,once a week
249,female,45-54,university diploma below bachelor's degree,not in the past month
250,male,25-34,university diploma below bachelor's degree,2-3 times a week
251,female,65-74,high school diploma,2-3 times a week
252,male,65-74,college diploma,everyday
253,male,75&over,less than high school diploma,2-3 times a week
254,male,65-74,university diploma above bachelor's degree,2-3 times a week
255,male,45-54,college diploma,4-6 times a week
256,female,25-34,university diploma below bachelor's degree,never drink
257,female,45-54,bachelor's degree ,once a week
258,female,65-74,high school diploma,never drink
259,male,35-44,bachelor's degree ,once a week
260,female,75&over,less than high school diploma,not in the past month
261,female,15-24,less than high school diploma,never drink
262,male,55-64,high school diploma,2-3 times a week
263,female,55-64,college diploma,never drink
264,female,55-64,high school diploma,once or twice in the past month
265,female,45-54,not stated,once a week
266,female,15-24,high school diploma,once or twice in the past month
267,male,25-34,bachelor's degree ,4-6 times a week
268,male,55-64,trade certificate,never drink
269,female,65-74,university diploma below bachelor's degree,not in the past month
270,male,45-54,less than high school diploma,2-3 times a week
271,female,35-44,college diploma,2-3 times a week
272,male,35-44,university diploma below bachelor's degree,4-6 times a week
273,male,45-54,college diploma,never drink
274,male,65-74,high school diploma,4-6 times a week
275,male,15-24,less than high school diploma,never drink
276,female,75&over,university diploma above bachelor's degree,once a week
277,female,45-54,high school diploma,once or twice in the past month
278,female,75&over,high school diploma,never drink
279,male,65-74,high school diploma,once a week
280,female,45-54,high school diploma,never drink
281,female,65-74,bachelor's degree ,never drink
282,male,65-74,trade certificate,never drink
283,female,35-44,high school diploma,once or twice in the past month
284,male,55-64,trade certificate,once a week
285,female,65-74,trade certificate,once a week
286,female,45-54,high school diploma,once or twice in the past month
287,female,65-74,bachelor's degree ,4-6 times a week
288,male,25-34,bachelor's degree ,4-6 times a week
289,male,55-64,high school diploma,everyday
290,female,25-34,bachelor's degree ,once or twice in the past month
291,female,45-54,university diploma above bachelor's degree,not in the past month
292,male,75&over,trade certificate,never drink
293,female,65-74,college diploma,2-3 times a week
294,male,55-64,college diploma,not in the past month
295,female,25-34,less than high school diploma,never drink
