CASEID,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,drr_110,ehg3_01
 5725,96,96,96,4, 6,96,96,1,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6, 1
 5726,96,96,96,7, 8,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 7, 1
 5727, 3, 3,96,4, 2,96,96,2,5,6,0,2,2,2,1,6,0,5, 6,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2, 3, 2
 5728, 1,96, 2,1, 1,96,96,2,6,6,0,1,0,0,2,1,2,2, 8,1,1, 2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,4,3,2, 5, 1
 5729,96, 1,96,3, 1,10, 4,1,2,2,2,3,3,3,1,5,0,5, 3,2,2,96,2,2,0,3,0,0,0,0,0,0,0,0,0,0,5,2,2, 3, 2
 5730,96,96,96,6, 7,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 5, 7
 5731,96,96,96,2, 4,96,96,1,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6, 5
 5732,96,96,96,3, 4, 7, 3,1,2,2,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 5, 4
 5733,96,96,96,6, 8, 8, 6,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 3, 4
 5734,96, 5,96,4, 3, 8, 4,2,1,1,1,0,1,0,1,1,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2, 4, 4
